,,,,,,,,,
12,1467244920,4212927.320159,173609.922741,4769705.357411,0,0,0.081012,0.080352,0.080514
18,1467244920,4201797.061828,177941.070222,4779282.142819,3.439026,0.005804,0.095104,0.082163,0.085544
12,1467244980,4212927.320554,173609.922565,4769705.357479,0,0,0.062783,0.062617,0.062655
18,1467244980,4201797.05856,177941.071645,4779282.142182,3.471728,0.004751,0.074411,0.064042,0.066596
12,1467245040,4212927.32152,173609.922536,4769705.358316,0,0,0.053139,0.053069,0.053084
18,1467245040,4201797.057373,177941.070771,4779282.141571,3.508077,0.004254,0.063282,0.054283,0.0564
12,1467245100,4212927.322098,173609.92263,4769705.35885,0,0,0.046915,0.046879,0.046886
18,1467245100,4201797.057287,177941.068886,4779282.142394,3.548107,0.006471,0.056069,0.047954,0.049783
12,1467245160,4212927.322459,173609.922711,4769705.35908,0,0,0.042472,0.04245,0.042454
18,1467245160,4201797.055759,177941.067068,4779282.144032,3.591854,0.00962,0.050913,0.043426,0.045045
12,1467245220,4212927.322661,173609.922785,4769705.359133,0,0,0.039094,0.039079,0.039082
18,1467245220,4201797.054481,177941.064932,4779282.146803,3.639354,0.01475,0.046997,0.03998,0.041436
12,1467245280,4212927.322558,173609.922458,4769705.359751,0,0,0.036414,0.036404,0.036405
18,1467245280,4201797.058741,177941.07001,4779282.135884,3.35365,0.033451,0.043814,0.037188,0.038281
12,1467245340,4212927.322521,173609.922344,4769705.359961,0,0,0.034221,0.034213,0.034214
18,1467245340,4201797.060831,177941.071017,4779282.133552,3.370941,0.02435,0.041223,0.034923,0.035815
12,1467245400,4212927.322594,173609.922297,4769705.360015,0,0,0.032384,0.032378,0.032378
18,1467245400,4201797.060042,177941.071456,4779282.132936,3.385789,0.018679,0.039059,0.033033,0.033796
12,1467245460,4212927.322607,173609.922318,4769705.359882,0,0,0.030815,0.03081,0.030811
18,1467245460,4201797.061364,177941.070664,4779282.136168,3.398072,0.028602,0.037215,0.031424,0.032094
12,1467245520,4212927.322637,173609.922351,4769705.359777,0,0,0.029456,0.029452,0.029452
18,1467245520,4201797.061797,177941.069883,4779282.13849,3.407688,0.027178,0.035618,0.030031,0.030633
12,1467245580,4212927.322719,173609.922356,4769705.359676,0,0,0.028263,0.02826,0.02826
18,1467245580,4201797.060297,177941.069363,4779282.140492,4.004606,0.034639,0.034256,0.028823,0.029406
12,1467245640,4212927.322787,173609.922353,4769705.359558,0,0,0.027206,0.027203,0.027204
18,1467245640,4201797.059299,177941.068867,4779282.142806,4.078858,0.03485,0.033053,0.027751,0.028315
12,1467245700,4212927.322723,173609.922287,4769705.359654,0,0,0.026261,0.026258,0.026258
18,1467245700,4201797.062188,177941.069771,4779282.141712,3.419865,0.032972,0.031934,0.026782,0.027298
12,1467245760,4212927.322695,173609.922238,4769705.359595,0,0,0.025409,0.025406,0.025406
18,1467245760,4201797.064211,177941.070012,4779282.143156,3.418276,0.030333,0.030925,0.025909,0.026385
12,1467245820,4212927.322987,173609.922325,4769705.359474,0,0,0.024635,0.024633,0.024633
18,1467245820,4201797.053775,177941.068173,4779282.144241,1.854264,0.031114,0.029064,0.025097,0.025555
12,1467245880,4212927.323229,173609.922319,4769705.359259,0,0,0.02393,0.023928,0.023928
18,1467245880,4201797.046249,177941.067232,4779282.146331,1.86066,0.036037,0.027692,0.024365,0.024802
12,1467245940,4212927.323356,173609.922254,4769705.359054,0,0,0.023283,0.023281,0.023282
18,1467245940,4201797.042751,177941.066976,4779282.148416,2.006776,0.037381,0.026614,0.023702,0.024133
12,1467246000,4212927.323356,173609.92228,4769705.358838,0,0,0.022687,0.022684,0.022686
18,1467246000,4201797.04342,177941.066274,4779282.15128,2.004192,0.038757,0.025698,0.023092,0.023517
12,1467246060,4212927.323373,173609.922314,4769705.358739,0,0,0.022136,0.022133,0.022134
18,1467246060,4201797.042875,177941.065786,4779282.15269,2.002116,0.025294,0.0249,0.022528,0.022947
12,1467246120,4212927.323393,173609.922323,4769705.358702,0,0,0.021624,0.021621,0.021622
18,1467246120,4201797.042106,177941.065544,4779282.153441,1.884137,0.02106,0.024178,0.022,0.022399
12,1467246180,4212927.3234,173609.922247,4769705.358546,0,0,0.021147,0.021143,0.021145
18,1467246180,4201797.042354,177941.065632,4779282.155179,1.889403,0.031354,0.023531,0.021509,0.02189
12,1467246240,4212927.323341,173609.922133,4769705.358322,0,0,0.020701,0.020697,0.020699
18,1467246240,4201797.044594,177941.065875,4779282.157561,1.894399,0.038074,0.022944,0.021051,0.021415
12,1467246300,4212927.32333,173609.922067,4769705.358061,0,0,0.020284,0.020279,0.020281
18,1467246300,4201797.045684,177941.065805,4779282.160011,1.899109,0.036338,0.022408,0.020622,0.02097
12,1467246360,4212927.323213,173609.922337,4769705.358494,0,0,0.019891,0.019886,0.019888
18,1467246360,4201797.046553,177941.065098,4779282.158036,1.903523,0.034217,0.021913,0.02022,0.020554
12,1467246420,4212927.323215,173609.922267,4769705.358318,0,0,0.019522,0.019516,0.019518
18,1467246420,4201797.047062,177941.065161,4779282.159666,1.907627,0.034987,0.021455,0.01984,0.020162
12,1467246480,4212927.323118,173609.922648,4769705.358785,0,0,0.019173,0.019166,0.019169
18,1467246480,4201797.047382,177941.064046,4779282.157688,1.91141,0.035872,0.021029,0.019483,0.019792
12,1467246540,4212927.323065,173609.922885,4769705.359065,0,0,0.018844,0.018836,0.018839
18,1467246540,4201797.04753,177941.063384,4779282.15673,1.914861,0.029976,0.02063,0.019144,0.019443
12,1467246600,4212927.322995,173609.923056,4769705.359325,0,0,0.018531,0.018523,0.018526
