,,,,,,,,,
KYLIA-12,1467246420,4212900.20364,173604.396941,4769708.87666,0,0,0.019522,0.019516,0.019518
KYLIA-18,1467246420,4201794.417622,177905.774758,4779284.884747,1.907626,0.047191,0.021455,0.01984,0.020162
KYLIA-12,1467246480,4212900.203755,173604.397445,4769708.877151,0,0,0.019173,0.019166,0.019169
KYLIA-18,1467246480,4201794.413702,177905.773033,4779284.881274,1.911409,0.043932,0.021029,0.019483,0.019792
KYLIA-12,1467246540,4212900.20368,173604.397263,4769708.877704,0,0,0.018844,0.018836,0.018839
KYLIA-18,1467246540,4201794.412718,177905.773961,4779284.877614,1.91486,0.042742,0.02063,0.019144,0.019443
KYLIA-12,1467246600,4212900.203586,173604.397512,4769708.87827,0,0,0.018531,0.018523,0.018526
KYLIA-18,1467246600,4201794.412134,177905.773287,4779284.874404,2.003524,0.058217,0.02026,0.018826,0.01912
KYLIA-12,1467246660,4212900.203429,173604.397465,4769708.878763,0,0,0.018235,0.018225,0.01823
KYLIA-18,1467246660,4201794.412626,177905.773638,4779284.871622,2.0056,0.064212,0.019912,0.018523,0.018814
KYLIA-12,1467246720,4212900.203915,173604.396882,4769708.877601,0,0,0.017953,0.017943,0.017947
KYLIA-18,1467246720,4201794.408482,177905.774568,4779284.875443,2.392415,0.073749,0.019587,0.018243,0.018518
KYLIA-12,1467246780,4212900.204027,173604.396546,4769708.877652,0,0,0.017685,0.017675,0.017679
KYLIA-18,1467246780,4201794.406455,177905.775497,4779284.874076,2.496183,0.059203,0.01928,0.017978,0.018247
KYLIA-12,1467246840,4212900.20358,173604.396091,4769708.878402,0,0,0.017429,0.017419,0.017423
KYLIA-18,1467246840,4201794.409389,177905.777154,4779284.870815,2.509494,0.070229,0.01899,0.017724,0.017989
KYLIA-12,1467246900,4212900.203927,173604.396312,4769708.878037,0,0,0.017185,0.017174,0.017178
KYLIA-18,1467246900,4201794.405966,177905.776238,4779284.871443,2.522456,0.053896,0.018714,0.017482,0.017742
KYLIA-12,1467246960,4212900.203696,173604.39687,4769708.87846,0,0,0.016952,0.01694,0.016944
KYLIA-18,1467246960,4201794.407414,177905.774749,4779284.8699,2.53501,0.059935,0.018452,0.01725,0.017506
KYLIA-12,1467247020,4212900.203518,173604.397219,4769708.878088,0,0,0.016728,0.016717,0.016721
KYLIA-18,1467247020,4201794.409789,177905.773481,4779284.871594,2.547094,0.065991,0.018202,0.017028,0.01728
KYLIA-12,1467247080,4212900.203733,173604.398041,4769708.877521,0,0,0.016515,0.016501,0.016507
KYLIA-18,1467247080,4201794.408904,177905.770801,4779284.873541,2.217082,0.065927,0.017957,0.016805,0.017066
KYLIA-12,1467247140,4212900.20365,173604.397756,4769708.87845,0,0,0.016309,0.016294,0.016301
KYLIA-18,1467247140,4201794.407539,177905.771863,4779284.869477,2.051536,0.059041,0.017719,0.01659,0.016853
KYLIA-12,1467247200,4212900.203667,173604.397157,4769708.87847,0,0,0.016112,0.016095,0.016103
KYLIA-18,1467247200,4201794.406887,177905.773278,4779284.868766,2.053737,0.054952,0.017491,0.016384,0.016648
KYLIA-12,1467247260,4212900.203767,173604.397556,4769708.878651,0,0,0.015923,0.015905,0.015913
KYLIA-18,1467247260,4201794.405732,177905.772164,4779284.867757,2.589541,0.054337,0.017282,0.016196,0.016456
KYLIA-12,1467247320,4212900.203041,173604.397533,4769708.878523,0,0,0.015741,0.015721,0.01573
KYLIA-18,1467247320,4201794.411351,177905.771778,4779284.869025,2.056959,0.05717,0.017072,0.016005,0.016266
KYLIA-12,1467247380,4212900.203502,173604.39679,4769708.877607,0,0,0.015566,0.015544,0.015554
KYLIA-18,1467247380,4201794.408834,177905.773221,4779284.870844,2.057973,0.072556,0.016871,0.015821,0.016084
KYLIA-12,1467247440,4212900.203321,173604.396566,4769708.877784,0,0,0.015397,0.015373,0.015384
KYLIA-18,1467247440,4201794.409699,177905.773609,4779284.870102,2.058588,0.048441,0.016678,0.015644,0.015908
KYLIA-12,1467247500,4212900.203124,173604.39625,4769708.877168,0,0,0.015234,0.015208,0.015221
KYLIA-18,1467247500,4201794.411715,177905.773993,4779284.872083,2.058804,0.040166,0.016492,0.015474,0.015738
KYLIA-12,1467247560,4212900.202295,173604.395414,4769708.876792,0,0,0.015077,0.01505,0.015063
KYLIA-18,1467247560,4201794.41724,177905.775487,4779284.87388,2.058625,0.062786,0.016313,0.015309,0.015574
KYLIA-12,1467247620,4212900.202281,173604.396447,4769708.876247,0,0,0.014925,0.014896,0.01491
KYLIA-18,1467247620,4201794.418435,177905.77287,4779284.875845,2.058052,0.062503,0.01614,0.015151,0.015416
KYLIA-12,1467247680,4212900.201905,173604.395712,4769708.876376,0,0,0.014778,0.014748,0.014763
KYLIA-18,1467247680,4201794.420375,177905.774453,4779284.875562,2.057093,0.048005,0.015974,0.014997,0.015263
KYLIA-12,1467247740,4212900.202459,173604.395912,4769708.875249,0,0,0.014637,0.014604,0.01462
